a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17
maxrank,79,,,,,,,,,,,,,,,,
0,pvt1,0,800,RANK_PVT,RANK_PVT_FULL,rank_pvt1,800,,,,,,1,1,,RANK_PVT_FULL,PERKS_UNLOCKED_AT_LV1
1,pvt2,800,1100,RANK_PVT,RANK_PVT_FULL2,rank_pvt1,1900,,,,,,2,2,,RANK_PVT_FULL_N,PERKS_UNLOCKED_AT_LV2
2,pvt3,1900,1200,RANK_PVT,RANK_PVT_FULL3,rank_pvt1,3100,,,,,,3,3,,RANK_PVT_FULL_N,PERKS_UNLOCKED_AT_LV3
3,pfc1,3100,1800,RANK_PFC,RANK_PFC_FULL,rank_pfc1,4900,,,,,,4,4,,RANK_PFC_FULL,PERKS_UNLOCKED_AT_LV4
4,pfc2,4900,2200,RANK_PFC,RANK_PFC_FULL2,rank_pfc1,7100,,,,,,5,5,,RANK_PFC_FULL_N,PERKS_UNLOCKED_AT_LV5
5,pfc3,7100,2500,RANK_PFC,RANK_PFC_FULL3,rank_pfc1,9600,,,,,,6,6,,RANK_PFC_FULL_N,PERKS_UNLOCKED_AT_LV6
6,spc1,9600,2800,RANK_SPC,RANK_SPC_FULL,rank_spc1,12400,,,,,,7,7,,RANK_SPC_FULL,PERKS_UNLOCKED_AT_LV7
7,spc2,12400,3200,RANK_SPC,RANK_SPC_FULL2,rank_spc1,15600,,,,,,8,8,,RANK_SPC_FULL_N,PERKS_UNLOCKED_AT_LV8
8,spc3,15600,3600,RANK_SPC,RANK_SPC_FULL3,rank_spc1,19200,,,,,,9,9,,RANK_SPC_FULL_N,PERKS_UNLOCKED_AT_LV9
9,cpl1,19200,3900,RANK_CPL,RANK_CPL_FULL,rank_cpl1,23100,,,,,,10,10,,RANK_CPL_FULL,PERKS_UNLOCKED_AT_LV10
10,cpl2,23100,4400,RANK_CPL,RANK_CPL_FULL2,rank_cpl1,27500,,,,,,11,11,,RANK_CPL_FULL_N,PERKS_UNLOCKED_AT_LV11
11,cpl3,27500,4900,RANK_CPL,RANK_CPL_FULL3,rank_cpl1,32400,,,,,,12,12,,RANK_CPL_FULL_N,PERKS_UNLOCKED_AT_LV12
12,sgt1,32400,5400,RANK_SGT,RANK_SGT_FULL,rank_sgt1,37800,,,,,,13,13,,RANK_SGT_FULL,PERKS_UNLOCKED_AT_LV13
13,sgt2,37800,5900,RANK_SGT,RANK_SGT_FULL2,rank_sgt1,43700,,,,,,14,14,,RANK_SGT_FULL_N,PERKS_UNLOCKED_AT_LV14
14,sgt3,43700,6400,RANK_SGT,RANK_SGT_FULL3,rank_sgt1,50100,,,,,,15,15,,RANK_SGT_FULL_N,PERKS_UNLOCKED_AT_LV15
15,ssgt1,50100,6900,RANK_SSGT,RANK_SSGT_FULL,rank_ssgt1,57000,,,,,,16,16,,RANK_SSGT_FULL,PERKS_UNLOCKED_AT_LV16
16,ssgt2,57000,7400,RANK_SSGT,RANK_SSGT_FULL2,rank_ssgt1,64400,,,,,,17,17,,RANK_SSGT_FULL_N,PERKS_UNLOCKED_AT_LV17
17,ssgt3,64400,7900,RANK_SSGT,RANK_SSGT_FULL3,rank_ssgt1,72300,,,,,,18,18,,RANK_SSGT_FULL_N,PERKS_UNLOCKED_AT_LV18
18,ssgt4,72300,8400,RANK_SSGT,RANK_SSGT_FULL4,rank_ssgt1,80700,,,,,,19,19,,RANK_SSGT_FULL_N,PERKS_UNLOCKED_AT_LV19
19,sfc1,80700,8900,RANK_SFC,RANK_SFC_FULL,rank_sfc1,89600,,,,,,20,20,,RANK_SFC_FULL,PERKS_UNLOCKED_AT_LV20
20,sfc2,89600,9400,RANK_SFC,RANK_SFC_FULL2,rank_sfc1,99000,,,,,,21,21,,RANK_SFC_FULL_N,PERKS_UNLOCKED_AT_LV21
21,sfc3,99000,9900,RANK_SFC,RANK_SFC_FULL3,rank_sfc1,108900,,,,,,22,22,,RANK_SFC_FULL_N,PERKS_UNLOCKED_AT_LV22
22,sfc4,108900,10400,RANK_SFC,RANK_SFC_FULL4,rank_sfc1,119300,,,,,,23,23,,RANK_SFC_FULL_N,PERKS_UNLOCKED_AT_LV23
23,msgt1,119300,10900,RANK_MSGT,RANK_MSGT_FULL,rank_msgt1,130200,,,,,,24,24,,RANK_MSGT_FULL,PERKS_UNLOCKED_AT_LV24
24,msgt2,130200,11400,RANK_MSGT,RANK_MSGT_FULL2,rank_msgt1,141600,,,,,,25,25,,RANK_MSGT_FULL_N,PERKS_UNLOCKED_AT_LV25
25,msgt3,141600,11900,RANK_MSGT,RANK_MSGT_FULL3,rank_msgt1,153500,,,,,,26,26,,RANK_MSGT_FULL_N,PERKS_UNLOCKED_AT_LV26
26,msgt4,153500,12400,RANK_MSGT,RANK_MSGT_FULL4,rank_msgt1,165900,,,,,,27,27,,RANK_MSGT_FULL_N,PERKS_UNLOCKED_AT_LV27
27,1stsgt1,165900,12900,RANK_1STSGT,RANK_1STSGT_FULL,rank_1stsgt1,178800,,,,,,28,28,,RANK_1STSGT_FULL,PERKS_UNLOCKED_AT_LV28
28,1stsgt2,178800,13400,RANK_1STSGT,RANK_1STSGT_FULL2,rank_1stsgt1,192200,,,,,,29,29,,RANK_1STSGT_FULL_N,PERKS_UNLOCKED_AT_LV29
29,1stsgt3,192200,14000,RANK_1STSGT,RANK_1STSGT_FULL3,rank_1stsgt1,206200,,,,,,30,30,,RANK_1STSGT_FULL_N,PERKS_UNLOCKED_AT_LV30
30,1stsgt4,206200,14600,RANK_1STSGT,RANK_1STSGT_FULL4,rank_1stsgt1,220800,,,,,,31,31,,RANK_1STSGT_FULL_N,PERKS_UNLOCKED_AT_LV31
31,sgtmaj1,220800,15200,RANK_SGTMAJ,RANK_SGTMAJ_FULL,rank_sgtmaj1,236000,,,,,,32,32,,RANK_SGTMAJ_FULL,PERKS_UNLOCKED_AT_LV32
32,sgtmaj2,236000,15800,RANK_SGTMAJ,RANK_SGTMAJ_FULL2,rank_sgtmaj1,251800,,,,,,33,33,,RANK_SGTMAJ_FULL_N,PERKS_UNLOCKED_AT_LV33
33,sgtmaj3,251800,16400,RANK_SGTMAJ,RANK_SGTMAJ_FULL3,rank_sgtmaj1,268200,,,,,,34,34,,RANK_SGTMAJ_FULL_N,PERKS_UNLOCKED_AT_LV34
34,sgtmaj4,268200,17000,RANK_SGTMAJ,RANK_SGTMAJ_FULL4,rank_sgtmaj1,285200,,,,,,35,35,,RANK_SGTMAJ_FULL_N,PERKS_UNLOCKED_AT_LV35
35,csm1,285200,17600,RANK_CSM,RANK_CSM_FULL,rank_cmdsgtmaj1,302800,,,,,,36,36,,RANK_CSM_FULL,PERKS_UNLOCKED_AT_LV36
36,csm2,302800,18200,RANK_CSM,RANK_CSM_FULL2,rank_cmdsgtmaj1,321000,,,,,,37,37,,RANK_CSM_FULL_N,PERKS_UNLOCKED_AT_LV37
37,csm3,321000,18800,RANK_CSM,RANK_CSM_FULL3,rank_cmdsgtmaj1,339800,,,,,,38,38,,RANK_CSM_FULL_N,PERKS_UNLOCKED_AT_LV38
38,csm4,339800,19400,RANK_CSM,RANK_CSM_FULL4,rank_cmdsgtmaj1,359200,,,,,,39,39,,RANK_CSM_FULL_N,PERKS_UNLOCKED_AT_LV39
39,2ndlt1,359200,20000,RANK_2NDLT,RANK_2NDLT_FULL,rank_2ndlt1,379200,,,,,,40,40,,RANK_2NDLT_FULL,PERKS_UNLOCKED_AT_LV40
40,2ndlt2,379200,20600,RANK_2NDLT,RANK_2NDLT_FULL2,rank_2ndlt1,399800,,,,,,41,41,,RANK_2NDLT_FULL_N,PERKS_UNLOCKED_AT_LV41
